Município,Componente Curricular,Etapa,Previstos,Avaliados,% Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,Ciclos,Habilidades,Percentual de acertos
ITAITINGA,LÍNGUA PORTUGUESA,4 ANO,848,755,89%,17%,18%,65%,59%,2,H 35,42.0
MARACANAU,LÍNGUA PORTUGUESA,4 ANO,1066,0,0%,0%,0%,0%,0%,2,H 35,
MARANGUAPE,LÍNGUA PORTUGUESA,4 ANO,72,0,0%,0%,0%,0%,0%,2,H 35,
CAUCAIA,MATEMÁTICA,4 ANO,3124,0,0%,0%,0%,0%,0%,2,H 35,
EUSEBIO,MATEMÁTICA,4 ANO,976,30,3%,20%,37%,43%,62%,2,H 35,
ITAITINGA,MATEMÁTICA,4 ANO,872,771,88%,45%,25%,29%,48%,2,H 35,
MARACANAU,MATEMÁTICA,4 ANO,1066,0,0%,0%,0%,0%,0%,2,H 35,
MARANGUAPE,MATEMÁTICA,4 ANO,72,0,0%,0%,0%,0%,0%,2,H 35,
AQUIRAZ,LÍNGUA PORTUGUESA,5 ANO,57,0,0%,0%,0%,0%,0%,2,H 35,
CAUCAIA,LÍNGUA PORTUGUESA,5 ANO,3881,3367,87%,21%,31%,49%,54%,2,H 35,
EUSEBIO,LÍNGUA PORTUGUESA,5 ANO,940,15,2%,0%,13%,87%,77%,2,H 35,
ITAITINGA,LÍNGUA PORTUGUESA,5 ANO,840,782,93%,18%,26%,56%,58%,2,H 35,
MARACANAU,LÍNGUA PORTUGUESA,5 ANO,41,0,0%,0%,0%,0%,0%,2,H 35,
MARANGUAPE,LÍNGUA PORTUGUESA,5 ANO,81,0,0%,0%,0%,0%,0%,2,H 35,
AQUIRAZ,MATEMÁTICA,5 ANO,57,0,0%,0%,0%,0%,0%,2,H 35,
CAUCAIA,MATEMÁTICA,5 ANO,3889,3358,86%,37%,27%,36%,52%,2,H 35,
EUSEBIO,MATEMÁTICA,5 ANO,940,15,2%,0%,20%,80%,83%,2,H 35,
ITAITINGA,MATEMÁTICA,5 ANO,840,705,84%,36%,23%,41%,53%,2,H 35,
MARACANAU,MATEMÁTICA,5 ANO,41,0,0%,0%,0%,0%,0%,2,H 35,
MARANGUAPE,MATEMÁTICA,5 ANO,81,0,0%,0%,0%,0%,0%,2,H 35,
AQUIRAZ,LÍNGUA PORTUGUESA,1 ANO,1169,0,0%,0%,0%,0%,0%,3,H 35,
CAUCAIA,LÍNGUA PORTUGUESA,1 ANO,86,0,0%,0%,0%,0%,0%,3,H 35,
EUSEBIO,LÍNGUA PORTUGUESA,1 ANO,1030,946,92%,5%,11%,84%,83%,3,H 35,
GUAIUBA,LÍNGUA PORTUGUESA,1 ANO,360,313,87%,7%,19%,74%,77%,3,H 35,
ITAITINGA,LÍNGUA PORTUGUESA,1 ANO,786,676,86%,17%,25%,59%,68%,3,H 35,
MARACANAU,LÍNGUA PORTUGUESA,1 ANO,3119,2715,87%,13%,21%,66%,73%,3,H 35,
MARANGUAPE,LÍNGUA PORTUGUESA,1 ANO,1134,1023,90%,13%,21%,66%,73%,3,H 35,
PACATUBA,LÍNGUA PORTUGUESA,1 ANO,880,794,90%,18%,19%,64%,71%,3,H 35,
AQUIRAZ,MATEMÁTICA,1 ANO,1169,0,0%,0%,0%,0%,0%,3,H 35,
CAUCAIA,MATEMÁTICA,1 ANO,86,0,0%,0%,0%,0%,0%,3,H 35,
EUSEBIO,MATEMÁTICA,1 ANO,1030,939,91%,4%,12%,84%,87%,3,H 35,
GUAIUBA,MATEMÁTICA,1 ANO,360,305,85%,6%,23%,71%,80%,3,H 35,
ITAITINGA,MATEMÁTICA,1 ANO,786,694,88%,9%,24%,67%,78%,3,H 35,
MARACANAU,MATEMÁTICA,1 ANO,3144,2653,84%,10%,24%,66%,78%,3,H 35,
MARANGUAPE,MATEMÁTICA,1 ANO,1134,1026,90%,7%,25%,68%,83%,3,H 35,
PACATUBA,MATEMÁTICA,1 ANO,880,786,89%,8%,25%,67%,78%,3,H 35,
AQUIRAZ,LÍNGUA PORTUGUESA,2 ANO,1110,1071,96%,10%,13%,77%,78%,3,H 35,
CAUCAIA,LÍNGUA PORTUGUESA,2 ANO,4026,3516,87%,17%,18%,65%,71%,3,H 35,
EUSEBIO,LÍNGUA PORTUGUESA,2 ANO,964,923,96%,4%,7%,89%,85%,3,H 35,
GUAIUBA,LÍNGUA PORTUGUESA,2 ANO,341,249,73%,8%,17%,75%,76%,3,H 35,
ITAITINGA,LÍNGUA PORTUGUESA,2 ANO,872,755,87%,11%,15%,74%,76%,3,H 35,
MARACANAU,LÍNGUA PORTUGUESA,2 ANO,2992,2648,89%,12%,15%,73%,76%,3,H 35,
MARANGUAPE,LÍNGUA PORTUGUESA,2 ANO,1182,0,0%,0%,0%,0%,0%,3,H 35,
PACATUBA,LÍNGUA PORTUGUESA,2 ANO,748,0,0%,0%,0%,0%,0%,3,H 35,
AQUIRAZ,MATEMÁTICA,2 ANO,1110,1066,96%,11%,23%,66%,75%,3,H 35,
CAUCAIA,MATEMÁTICA,2 ANO,4023,3328,83%,18%,36%,46%,65%,3,H 35,
EUSEBIO,MATEMÁTICA,2 ANO,964,914,95%,7%,21%,72%,79%,3,H 35,
GUAIUBA,MATEMÁTICA,2 ANO,341,255,75%,7%,26%,66%,75%,3,H 35,
ITAITINGA,MATEMÁTICA,2 ANO,803,737,92%,9%,27%,63%,76%,3,H 35,
MARACANAU,MATEMÁTICA,2 ANO,2992,2654,89%,14%,33%,53%,69%,3,H 35,
MARANGUAPE,MATEMÁTICA,2 ANO,1182,0,0%,0%,0%,0%,0%,3,H 35,
PACATUBA,MATEMÁTICA,2 ANO,748,0,0%,0%,0%,0%,0%,3,H 35,
AQUIRAZ,LÍNGUA PORTUGUESA,3 ANO,1358,0,0%,0%,0%,0%,0%,3,H 35,
CAUCAIA,LÍNGUA PORTUGUESA,3 ANO,4425,0,0%,0%,0%,0%,0%,3,H 35,
EUSEBIO,LÍNGUA PORTUGUESA,3 ANO,1131,1065,94%,11%,21%,68%,73%,3,H 35,
GUAIUBA,LÍNGUA PORTUGUESA,3 ANO,312,268,86%,10%,13%,77%,75%,3,H 35,
ITAITINGA,LÍNGUA PORTUGUESA,3 ANO,850,744,88%,18%,23%,59%,66%,3,H 35,
MARACANAU,LÍNGUA PORTUGUESA,3 ANO,3238,2685,83%,19%,24%,57%,67%,3,H 35,
MARANGUAPE,LÍNGUA PORTUGUESA,3 ANO,1237,1106,89%,14%,19%,68%,69%,3,H 35,
PACATUBA,LÍNGUA PORTUGUESA,3 ANO,1006,924,92%,19%,18%,63%,70%,3,H 35,
AQUIRAZ,MATEMÁTICA,3 ANO,1358,0,0%,0%,0%,0%,0%,3,H 35,
CAUCAIA,MATEMÁTICA,3 ANO,4425,0,0%,0%,0%,0%,0%,3,H 35,
EUSEBIO,MATEMÁTICA,3 ANO,1131,1059,94%,18%,24%,58%,74%,3,H 35,
GUAIUBA,MATEMÁTICA,3 ANO,312,264,85%,28%,28%,44%,66%,3,H 35,
ITAITINGA,MATEMÁTICA,3 ANO,850,725,85%,31%,34%,35%,64%,3,H 35,
MARACANAU,MATEMÁTICA,3 ANO,3215,2641,82%,36%,32%,31%,60%,3,H 35,
MARANGUAPE,MATEMÁTICA,3 ANO,1237,1100,89%,29%,32%,39%,65%,3,H 35,
PACATUBA,MATEMÁTICA,3 ANO,1006,900,89%,30%,29%,40%,65%,3,H 35,
AQUIRAZ,LÍNGUA PORTUGUESA,4 ANO,1189,0,0%,0%,0%,0%,0%,3,H 35,
CAUCAIA,LÍNGUA PORTUGUESA,4 ANO,3129,0,0%,0%,0%,0%,0%,3,H 35,
EUSEBIO,LÍNGUA PORTUGUESA,4 ANO,1141,1033,91%,5%,20%,75%,67%,3,H 35,
GUAIUBA,LÍNGUA PORTUGUESA,4 ANO,345,333,97%,12%,26%,63%,60%,3,H 35,
ITAITINGA,LÍNGUA PORTUGUESA,4 ANO,884,786,89%,13%,27%,60%,58%,3,H 35,
MARACANAU,LÍNGUA PORTUGUESA,4 ANO,3182,2779,87%,11%,25%,64%,60%,3,H 35,
MARANGUAPE,LÍNGUA PORTUGUESA,4 ANO,1267,1171,92%,16%,18%,66%,62%,3,H 35,
PACATUBA,LÍNGUA PORTUGUESA,4 ANO,845,0,0%,0%,0%,0%,0%,3,H 35,
AQUIRAZ,MATEMÁTICA,4 ANO,1189,0,0%,0%,0%,0%,0%,3,H 35,
CAUCAIA,MATEMÁTICA,4 ANO,3129,0,0%,0%,0%,0%,0%,3,H 35,
EUSEBIO,MATEMÁTICA,4 ANO,1141,1031,90%,22%,23%,54%,66%,3,H 35,
GUAIUBA,MATEMÁTICA,4 ANO,345,328,95%,26%,24%,50%,63%,3,H 35,
ITAITINGA,MATEMÁTICA,4 ANO,918,752,82%,36%,22%,42%,56%,3,H 35,
MARACANAU,MATEMÁTICA,4 ANO,3182,2635,83%,38%,24%,39%,57%,3,H 35,
MARANGUAPE,MATEMÁTICA,4 ANO,1267,1193,94%,29%,25%,44%,58%,3,H 35,
PACATUBA,MATEMÁTICA,4 ANO,845,0,0%,0%,0%,0%,0%,3,H 35,
AQUIRAZ,LÍNGUA PORTUGUESA,5 ANO,986,969,98%,9%,16%,76%,71%,3,H 35,
CAUCAIA,LÍNGUA PORTUGUESA,5 ANO,3973,3389,85%,14%,26%,60%,61%,3,H 35,
EUSEBIO,LÍNGUA PORTUGUESA,5 ANO,1098,971,88%,6%,14%,80%,72%,3,H 35,
GUAIUBA,LÍNGUA PORTUGUESA,5 ANO,99,74,75%,38%,26%,36%,47%,3,H 35,
ITAITINGA,LÍNGUA PORTUGUESA,5 ANO,858,788,92%,11%,19%,70%,65%,3,H 35,
MARACANAU,LÍNGUA PORTUGUESA,5 ANO,361,77,21%,18%,19%,62%,61%,3,H 35,
MARANGUAPE,LÍNGUA PORTUGUESA,5 ANO,139,26,19%,4%,27%,69%,65%,3,H 35,
PACATUBA,LÍNGUA PORTUGUESA,5 ANO,82,0,0%,0%,0%,0%,0%,3,H 35,
AQUIRAZ,MATEMÁTICA,5 ANO,986,970,98%,18%,25%,56%,67%,3,H 35,
CAUCAIA,MATEMÁTICA,5 ANO,3978,3377,85%,29%,33%,38%,58%,3,H 35,
EUSEBIO,MATEMÁTICA,5 ANO,1098,981,89%,10%,20%,70%,73%,3,H 35,
GUAIUBA,MATEMÁTICA,5 ANO,67,47,70%,23%,38%,38%,60%,3,H 35,
ITAITINGA,MATEMÁTICA,5 ANO,858,716,83%,26%,23%,50%,61%,3,H 35,
MARACANAU,MATEMÁTICA,5 ANO,333,82,25%,12%,26%,62%,68%,3,H 35,
MARANGUAPE,MATEMÁTICA,5 ANO,139,0,0%,0%,0%,0%,0%,3,H 35,
PACATUBA,MATEMÁTICA,5 ANO,82,0,0%,0%,0%,0%,0%,3,H 35,
AQUIRAZ,LÍNGUA PORTUGUESA,1 ANO,1238,1052,85%,28%,25%,47%,69%,1,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,1 ANO,1008,889,88%,14%,18%,68%,76%,1,H 37,
GUAIUBA,LÍNGUA PORTUGUESA,1 ANO,497,306,62%,45%,28%,26%,57%,1,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,1 ANO,423,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,LÍNGUA PORTUGUESA,1 ANO,3120,4,0%,100%,0%,0%,18%,1,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,1 ANO,1118,936,84%,31%,32%,37%,66%,1,H 37,
PACATUBA,LÍNGUA PORTUGUESA,1 ANO,860,738,86%,39%,30%,31%,67%,1,H 37,
AQUIRAZ,MATEMÁTICA,1 ANO,1211,1021,84%,12%,33%,55%,78%,1,H 37,
CAUCAIA,MATEMÁTICA,1 ANO,12,1,8%,100%,0%,0%,18%,1,H 37,
EUSEBIO,MATEMÁTICA,1 ANO,1008,870,86%,8%,29%,63%,84%,1,H 37,
GUAIUBA,MATEMÁTICA,1 ANO,514,303,59%,38%,33%,29%,65%,1,H 37,
ITAITINGA,MATEMÁTICA,1 ANO,423,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,MATEMÁTICA,1 ANO,3182,41,1%,100%,0%,0%,34%,1,H 37,
MARANGUAPE,MATEMÁTICA,1 ANO,1111,928,84%,15%,39%,45%,73%,1,H 37,
PACATUBA,MATEMÁTICA,1 ANO,860,0,0%,0%,0%,0%,0%,1,H 37,
AQUIRAZ,LÍNGUA PORTUGUESA,2 ANO,1110,1071,96%,10%,13%,77%,78%,1,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,2 ANO,4026,3516,87%,17%,18%,65%,71%,1,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,2 ANO,964,923,96%,4%,7%,89%,85%,1,H 37,
GUAIUBA,LÍNGUA PORTUGUESA,2 ANO,341,249,73%,8%,17%,75%,76%,1,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,2 ANO,872,755,87%,11%,15%,74%,76%,1,H 37,
MARACANAU,LÍNGUA PORTUGUESA,2 ANO,2992,2648,89%,12%,15%,73%,76%,1,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,2 ANO,1182,0,0%,0%,0%,0%,0%,1,H 37,
PACATUBA,LÍNGUA PORTUGUESA,2 ANO,748,0,0%,0%,0%,0%,0%,1,H 37,
AQUIRAZ,MATEMÁTICA,2 ANO,137,0,0%,0%,0%,0%,0%,1,H 37,
CAUCAIA,MATEMÁTICA,2 ANO,191,3,2%,100%,0%,0%,17%,1,H 37,
EUSEBIO,MATEMÁTICA,2 ANO,894,87,10%,5%,40%,55%,83%,1,H 37,
GUAIUBA,MATEMÁTICA,2 ANO,258,0,0%,0%,0%,0%,0%,1,H 37,
ITAITINGA,MATEMÁTICA,2 ANO,484,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,MATEMÁTICA,2 ANO,2959,2707,91%,25%,43%,32%,72%,1,H 37,
MARANGUAPE,MATEMÁTICA,2 ANO,606,0,0%,0%,0%,0%,0%,1,H 37,
PACATUBA,MATEMÁTICA,2 ANO,60,0,0%,0%,0%,0%,0%,1,H 37,
AQUIRAZ,LÍNGUA PORTUGUESA,3 ANO,1338,1225,92%,23%,29%,48%,73%,1,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,3 ANO,4374,3723,85%,37%,22%,41%,66%,1,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,3 ANO,1141,1040,91%,24%,24%,52%,73%,1,H 37,
GUAIUBA,LÍNGUA PORTUGUESA,3 ANO,395,242,61%,34%,33%,33%,67%,1,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,3 ANO,499,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,LÍNGUA PORTUGUESA,3 ANO,3145,2942,94%,37%,22%,42%,66%,1,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,3 ANO,1262,1055,84%,24%,30%,45%,73%,1,H 37,
PACATUBA,LÍNGUA PORTUGUESA,3 ANO,994,868,87%,35%,29%,37%,71%,1,H 37,
AQUIRAZ,MATEMÁTICA,3 ANO,1336,1204,90%,31%,44%,25%,59%,1,H 37,
CAUCAIA,MATEMÁTICA,3 ANO,4362,3544,81%,41%,37%,22%,57%,1,H 37,
EUSEBIO,MATEMÁTICA,3 ANO,1141,1034,91%,35%,34%,31%,60%,1,H 37,
GUAIUBA,MATEMÁTICA,3 ANO,395,238,60%,37%,45%,16%,53%,1,H 37,
ITAITINGA,MATEMÁTICA,3 ANO,499,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,MATEMÁTICA,3 ANO,3145,2821,90%,48%,34%,18%,53%,1,H 37,
MARANGUAPE,MATEMÁTICA,3 ANO,1253,1019,81%,33%,43%,24%,58%,1,H 37,
PACATUBA,MATEMÁTICA,3 ANO,974,0,0%,0%,0%,0%,0%,1,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,4 ANO,3025,1,0%,100%,0%,0%,36%,1,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,4 ANO,976,31,3%,23%,29%,48%,61%,1,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,4 ANO,430,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,LÍNGUA PORTUGUESA,4 ANO,51,0,0%,0%,0%,0%,0%,1,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,4 ANO,72,0,0%,0%,0%,0%,0%,1,H 37,
CAUCAIA,MATEMÁTICA,4 ANO,2996,0,0%,0%,0%,0%,0%,1,H 37,
EUSEBIO,MATEMÁTICA,4 ANO,1006,32,3%,41%,22%,38%,54%,1,H 37,
ITAITINGA,MATEMÁTICA,4 ANO,430,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,MATEMÁTICA,4 ANO,51,0,0%,0%,0%,0%,0%,1,H 37,
MARANGUAPE,MATEMÁTICA,4 ANO,72,0,0%,0%,0%,0%,0%,1,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,5 ANO,2255,0,0%,0%,0%,0%,0%,1,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,5 ANO,940,14,1%,7%,0%,93%,67%,1,H 37,7.0
ITAITINGA,LÍNGUA PORTUGUESA,5 ANO,448,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,LÍNGUA PORTUGUESA,5 ANO,41,0,0%,0%,0%,0%,0%,1,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,5 ANO,129,2,2%,100%,0%,0%,30%,1,H 37,50.0
CAUCAIA,MATEMÁTICA,5 ANO,2255,0,0%,0%,0%,0%,0%,1,H 37,
EUSEBIO,MATEMÁTICA,5 ANO,940,14,1%,7%,14%,79%,78%,1,H 37,
ITAITINGA,MATEMÁTICA,5 ANO,448,0,0%,0%,0%,0%,0%,1,H 37,
MARACANAU,MATEMÁTICA,5 ANO,41,0,0%,0%,0%,0%,0%,1,H 37,
MARANGUAPE,MATEMÁTICA,5 ANO,81,0,0%,0%,0%,0%,0%,1,H 37,
AQUIRAZ,LÍNGUA PORTUGUESA,1 ANO,1161,986,85%,15%,25%,61%,77%,2,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,1 ANO,89,1,1%,100%,0%,0%,32%,2,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,1 ANO,1063,933,88%,7%,16%,77%,83%,2,H 37,
GUAIUBA,LÍNGUA PORTUGUESA,1 ANO,380,304,80%,20%,20%,60%,73%,2,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,1 ANO,1240,682,55%,22%,31%,47%,71%,2,H 37,
MARACANAU,LÍNGUA PORTUGUESA,1 ANO,3080,2773,90%,25%,29%,46%,68%,2,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,1 ANO,1137,1000,88%,27%,24%,48%,70%,2,H 37,
PACATUBA,LÍNGUA PORTUGUESA,1 ANO,868,824,95%,21%,30%,50%,71%,2,H 37,
AQUIRAZ,MATEMÁTICA,1 ANO,1161,1002,86%,6%,17%,77%,83%,2,H 37,
CAUCAIA,MATEMÁTICA,1 ANO,89,1,1%,100%,0%,0%,5%,2,H 37,
EUSEBIO,MATEMÁTICA,1 ANO,1063,938,88%,6%,17%,77%,83%,2,H 37,
GUAIUBA,MATEMÁTICA,1 ANO,380,309,81%,10%,28%,63%,78%,2,H 37,
ITAITINGA,MATEMÁTICA,1 ANO,1240,680,55%,11%,32%,57%,75%,2,H 37,
MARACANAU,MATEMÁTICA,1 ANO,3080,2696,88%,12%,26%,62%,77%,2,H 37,
MARANGUAPE,MATEMÁTICA,1 ANO,1137,994,87%,13%,35%,52%,72%,2,H 37,
PACATUBA,MATEMÁTICA,1 ANO,868,824,95%,9%,27%,64%,77%,2,H 37,
AQUIRAZ,LÍNGUA PORTUGUESA,2 ANO,1092,42,4%,100%,0%,0%,19%,2,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,2 ANO,3951,3424,87%,25%,25%,49%,62%,2,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,2 ANO,891,84,9%,6%,8%,86%,81%,2,H 37,
GUAIUBA,LÍNGUA PORTUGUESA,2 ANO,285,0,0%,0%,0%,0%,0%,2,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,2 ANO,793,713,90%,20%,25%,54%,67%,2,H 37,
MARACANAU,LÍNGUA PORTUGUESA,2 ANO,2975,0,0%,0%,0%,0%,0%,2,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,2 ANO,1145,71,6%,66%,13%,21%,40%,2,H 37,
PACATUBA,LÍNGUA PORTUGUESA,2 ANO,55,0,0%,0%,0%,0%,0%,2,H 37,
AQUIRAZ,MATEMÁTICA,2 ANO,1092,70,6%,100%,0%,0%,16%,2,H 37,
CAUCAIA,MATEMÁTICA,2 ANO,3951,3432,87%,14%,36%,49%,66%,2,H 37,
EUSEBIO,MATEMÁTICA,2 ANO,891,82,9%,1%,16%,83%,80%,2,H 37,
GUAIUBA,MATEMÁTICA,2 ANO,285,0,0%,0%,0%,0%,0%,2,H 37,
ITAITINGA,MATEMÁTICA,2 ANO,793,708,89%,13%,31%,56%,71%,2,H 37,
MARACANAU,MATEMÁTICA,2 ANO,2975,0,0%,0%,0%,0%,0%,2,H 37,
MARANGUAPE,MATEMÁTICA,2 ANO,1145,31,3%,29%,19%,52%,66%,2,H 37,
PACATUBA,MATEMÁTICA,2 ANO,55,0,0%,0%,0%,0%,0%,2,H 37,
AQUIRAZ,LÍNGUA PORTUGUESA,3 ANO,1350,1210,90%,25%,24%,51%,71%,2,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,3 ANO,4444,3675,83%,37%,25%,38%,65%,2,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,3 ANO,1195,1066,89%,23%,24%,54%,72%,2,H 37,
GUAIUBA,LÍNGUA PORTUGUESA,3 ANO,315,257,82%,28%,24%,48%,70%,2,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,3 ANO,846,763,90%,34%,25%,42%,66%,2,H 37,
MARACANAU,LÍNGUA PORTUGUESA,3 ANO,3175,2754,87%,31%,23%,46%,68%,2,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,3 ANO,1249,1130,90%,19%,26%,54%,69%,2,H 37,
PACATUBA,LÍNGUA PORTUGUESA,3 ANO,997,961,96%,30%,22%,47%,68%,2,H 37,
AQUIRAZ,MATEMÁTICA,3 ANO,1350,1175,87%,28%,35%,36%,62%,2,H 37,
CAUCAIA,MATEMÁTICA,3 ANO,4444,3681,83%,42%,40%,18%,53%,2,H 37,
EUSEBIO,MATEMÁTICA,3 ANO,1195,1053,88%,28%,38%,34%,62%,2,H 37,
GUAIUBA,MATEMÁTICA,3 ANO,315,263,83%,42%,41%,17%,53%,2,H 37,
ITAITINGA,MATEMÁTICA,3 ANO,846,750,89%,35%,35%,30%,61%,2,H 37,
MARACANAU,MATEMÁTICA,3 ANO,3175,2639,83%,38%,39%,23%,55%,2,H 37,
MARANGUAPE,MATEMÁTICA,3 ANO,1237,1123,91%,34%,31%,35%,66%,2,H 37,
PACATUBA,MATEMÁTICA,3 ANO,1024,950,93%,36%,40%,24%,56%,2,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,4 ANO,3124,2,0%,50%,50%,0%,23%,2,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,4 ANO,976,31,3%,6%,6%,87%,68%,2,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,4 ANO,848,755,89%,17%,18%,65%,59%,2,H 37,
MARACANAU,LÍNGUA PORTUGUESA,4 ANO,1066,0,0%,0%,0%,0%,0%,2,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,4 ANO,72,0,0%,0%,0%,0%,0%,2,H 37,
CAUCAIA,MATEMÁTICA,4 ANO,3124,0,0%,0%,0%,0%,0%,2,H 37,
EUSEBIO,MATEMÁTICA,4 ANO,976,30,3%,20%,37%,43%,62%,2,H 37,
ITAITINGA,MATEMÁTICA,4 ANO,872,771,88%,45%,25%,29%,48%,2,H 37,
MARACANAU,MATEMÁTICA,4 ANO,1066,0,0%,0%,0%,0%,0%,2,H 37,
MARANGUAPE,MATEMÁTICA,4 ANO,72,0,0%,0%,0%,0%,0%,2,H 37,
AQUIRAZ,LÍNGUA PORTUGUESA,5 ANO,57,0,0%,0%,0%,0%,0%,2,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,5 ANO,3881,3367,87%,21%,31%,49%,54%,2,H 37,40.0
EUSEBIO,LÍNGUA PORTUGUESA,5 ANO,940,15,2%,0%,13%,87%,77%,2,H 37,80.0
ITAITINGA,LÍNGUA PORTUGUESA,5 ANO,840,782,93%,18%,26%,56%,58%,2,H 37,75.0
MARACANAU,LÍNGUA PORTUGUESA,5 ANO,41,0,0%,0%,0%,0%,0%,2,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,5 ANO,81,0,0%,0%,0%,0%,0%,2,H 37,
AQUIRAZ,MATEMÁTICA,5 ANO,57,0,0%,0%,0%,0%,0%,2,H 37,
CAUCAIA,MATEMÁTICA,5 ANO,3889,3358,86%,37%,27%,36%,52%,2,H 37,
EUSEBIO,MATEMÁTICA,5 ANO,940,15,2%,0%,20%,80%,83%,2,H 37,
ITAITINGA,MATEMÁTICA,5 ANO,840,705,84%,36%,23%,41%,53%,2,H 37,
MARACANAU,MATEMÁTICA,5 ANO,41,0,0%,0%,0%,0%,0%,2,H 37,
MARANGUAPE,MATEMÁTICA,5 ANO,81,0,0%,0%,0%,0%,0%,2,H 37,
AQUIRAZ,LÍNGUA PORTUGUESA,1 ANO,1169,0,0%,0%,0%,0%,0%,3,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,1 ANO,86,0,0%,0%,0%,0%,0%,3,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,1 ANO,1030,946,92%,5%,11%,84%,83%,3,H 37,
GUAIUBA,LÍNGUA PORTUGUESA,1 ANO,360,313,87%,7%,19%,74%,77%,3,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,1 ANO,786,676,86%,17%,25%,59%,68%,3,H 37,
MARACANAU,LÍNGUA PORTUGUESA,1 ANO,3119,2715,87%,13%,21%,66%,73%,3,H 37,
MARANGUAPE,LÍNGUA PORTUGUESA,1 ANO,1134,1023,90%,13%,21%,66%,73%,3,H 37,
PACATUBA,LÍNGUA PORTUGUESA,1 ANO,880,794,90%,18%,19%,64%,71%,3,H 37,
AQUIRAZ,MATEMÁTICA,1 ANO,1169,0,0%,0%,0%,0%,0%,3,H 37,
CAUCAIA,MATEMÁTICA,1 ANO,86,0,0%,0%,0%,0%,0%,3,H 37,
EUSEBIO,MATEMÁTICA,1 ANO,1030,939,91%,4%,12%,84%,87%,3,H 37,
GUAIUBA,MATEMÁTICA,1 ANO,360,305,85%,6%,23%,71%,80%,3,H 37,
ITAITINGA,MATEMÁTICA,1 ANO,786,694,88%,9%,24%,67%,78%,3,H 37,
MARACANAU,MATEMÁTICA,1 ANO,3144,2653,84%,10%,24%,66%,78%,3,H 37,
MARANGUAPE,MATEMÁTICA,1 ANO,1134,1026,90%,7%,25%,68%,83%,3,H 37,
PACATUBA,MATEMÁTICA,1 ANO,880,786,89%,8%,25%,67%,78%,3,H 37,
AQUIRAZ,LÍNGUA PORTUGUESA,2 ANO,1110,1071,96%,10%,13%,77%,78%,3,H 37,
CAUCAIA,LÍNGUA PORTUGUESA,2 ANO,4026,3516,87%,17%,18%,65%,71%,3,H 37,
EUSEBIO,LÍNGUA PORTUGUESA,2 ANO,964,923,96%,4%,7%,89%,85%,3,H 37,
GUAIUBA,LÍNGUA PORTUGUESA,2 ANO,341,249,73%,8%,17%,75%,76%,3,H 37,
ITAITINGA,LÍNGUA PORTUGUESA,2 ANO,872,755,87%,11%,15%,74%,76%,3,H 37,
