ANO;UNIDADES TEMÁTICAS;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO INTRACOMPONENTE;RELAÇÃO INTERCOMPONENTE;COMPETÊNCIAS ESPECÍFICAS
7º;Grandezas e medidas;Problemas envolvendo medições;"• Reconhecimento do uso das medidas de massa, comprimento, tempo, capacidade, e outras medi- das inseridas  em situações práticas do cotidiano;
• Resolução e elaboração de problemas envol- vendo medidas de massa, comprimento, tempo, capacidade, e outras medidas inseridas em contextos oriundos de situações cotidianas ou de outras áreas do conhecimento;
• Utilização de unidades de medida convencionais ou não para estimar a medida de grandezas;
• Identificação do uso das medidas de grandezas em várias áreas do conhecimento como a Geo- grafia, Ciências, Computação, Educação
Física, etc.";(EF07MA29) Resolver e elaborar proble- mas que envolvam medidas de grandezas inseridos em contextos oriundos de situações cotidianas ou de outras áreas  do conhecimento, reconhecendo que toda medida empírica é aproximada.;(EF07MA30);(EF67EF03) (EF07GE11);Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
7º;Grandezas e medidas;Cálculo de volume de blocos retangulares, utilizando unidades de medida convencionais mais usuais;"• Identificação do metro cúbico e do decímetro cúbico como unidades pa- dronizadas de medida de volume;
• Utilização de símbolos das unidades de medi- das de volume;
• Estabelecimento de equivalências entre 1m³ e 1000 ml, 1 dm³ e 1 l;
-Cálculo do volume de cubos e paralelepípedos por meio de empilhamento de cubos;
• Resolução de problemas que envolvem o cálculo de volume de blocos retangulares; envolvem cálculo de volume de blocos retan- gulares;
• Abordagem intuitiva do Princípio de Cavalieri, com modelos concretos ou com uso de softwares geométricos.";(EF07MA30) Resolver e elaborar pro- blemas de cálculo de medida do volume de blocos retangulares, envolvendo as unidades usuais (metro cúbico, decímetro cúbico e centímetro cúbico).;(EF07MA29);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
7º;Grandezas e medidas;"Equivalência de área de figuras planas: cálculo de áreas de figuras que podem ser decompostas por outras, cujas áreas podem ser facilmente determinadas como
triângulos e quadriláteros";"• Cálculo de área de figuras planas por de- composição e com a utilização das fórmulas apropriadas;
• Cálculo de área de triângulo e paralelogramo por composição em retângulos;
• Cálculo de áreas do triângulo, quadrado, retân- gulo, triângulo, paralelogramo, trapézio e losango com a utilização das fórmulas;";(EF07MA31) Estabelecer expressões de cálculo de área de triângulos e de qua- driláteros.;(EF07MA32);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
7º;Grandezas e medidas;"Equivalência de área de figuras planas: cálculo de áreas de figuras que podem ser decompostas por outras, cujas áreas podem ser facilmente determinadas como
triângulos e quadriláteros";"• Cálculo de área de polígonos irregulares por decomposição em quadrados e retângulos;
• Resolução e elaboração de problemas que envolvem cálculo de medida de área de figuras planas.";(EF07MA32) Resolver e elaborar pro- blemas de cálculo de medida de área de fi- guras planas que podem ser decompostas por quadrados, retângulos e/ou triângulos, utilizando a equivalência entre áreas.;(EF07MA31);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
7º;Grandezas e medidas;Medida do comprimento da circunferência;"• Identificação da circunferência entre diversas curvas fechadas;
• Identificando o raio como segmento da reta que liga um ponto da circunferência ao ponto central;
• Identificação do diâmetro como segmento de reta que une dois pontos da circunferência passando pelo ponto central;
• Identificação da medida do diâmetro como o dobro da medida do raio;
• Determinação da razão entre o comprimento da circunferência e o diâmetro da mesma;
• Verificação que essa razão é sempre constante
e igual a π (pí).";(EF07MA33) Estabelecer o número π como a razão entre a medida de uma circunferência e seu diâmetro, para com- preender e resolver problemas, inclusive os de natureza histórica.;(EF07MA08) (EF07MA22);;Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
7º;Probabilidade e estatística;Experimentos aleatórios: espaço amostral e esti- mativa de probabilidade por meio de frequência de ocorrências;"listar resultados de experimentos; Registrar probabilidades dos resultados utilizando porcen- tagens, frações e decimais;
Comparar frequências de acontecimentos cotidia- nos: esperado e ocorrido.";(EF07MA34) Planejar e realizar expe- rimentos aleatórios ou simulações que envolvem cálculo de probabilidades ou estimativas por meio de frequência de ocorrências.;(EF06MA30);(EF67EF05) (EF67EF12) (EF67EF15);"Interagir com seus pares de forma cooperativa, trabalhando coletivamente no planejamento e
desenvolvimento de pesquisas para responder a questionamentos e na busca de soluções para problemas, de modo a identificar aspectos consensuais ou não na discussão de uma determinada questão, respeitando o modo de pensar dos colegas e aprendendo com eles."
7º;Probabilidade e estatística;Estatística: média e am- plitude de um conjunto de dados;"• Interpretação do uso da média em diferentes contextos oriundos de situações cotidianas ou de outras de áreas do conhecimentos;
• Assimilação da ideia de média;
• Reconhecimento do significado de média;
• Cálculo da média de dois ou mais números;
• Análise de um conjunto de dados coletados  para responder a uma pergunta de estatística que tem uma distribuição que pode ser descrita pela sua média;
• Cálculo da média em diferentes situações problemas.";(EF07MA35) Compreender, em contextos significativos, o significado de média estatística como indicador da tendência de uma pesquisa, calcular seu valor e relacio- ná-lo, intuitivamente, com a amplitude do conjunto de dados.;(EF08MA25);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
7º;Probabilidade e estatística;Pesquisa amostral e pesquisa censitária Planejamento de pesqui- sa, coleta e organização dos dados, construção de tabelas e gráficos e interpretação das infor- mações;"• Planejamento de estratégias para eleger as questões relevantes de uma pesquisa;
• Investigação de técnicas para coleta de dados: censos, amostragens e observações;
• Elaboração de tabelas de dados de pesquisa, censitária ou amostral, em planilhas eletrônicas ou não;
• Interpretação dos dados coletados e exposição em tabelas ou gráficos;";(EF07MA36) Planejar e realizar pesquisa envolvendo tema da realidade social, iden- tificando a necessidade de ser censitária ou de usar amostra, e interpretar os dados para comunicá-los por meio de relatório escrito, tabelas e gráficos, com o apoio de planilhas eletrônicas.;(EF06MA32) (EF06MA33);(EF07CI09) (EF08CI05) (EF89LP08) (EF89LP21) (EF07GE10) (EF07GE09);"Interagir com seus pares de forma cooperativa, trabalhando coletivamente no planejamento e
desenvolvimento de pesquisas para responder a questionamentos e na busca de soluções para problemas, de modo a identificar aspectos consensuais ou não na discussão de uma determinada questão, respeitando o modo de pensar dos colegas e aprendendo com eles."
7º;Probabilidade e estatística;Gráficos de setores: interpretação, pertinên- cia e construção para representar conjunto de dados;"• Interpretação de dados expressos em gráficos de setores;
• Resolução de problemas com as informações apresentadas em gráficos de setores, avaliando a conveniência da sua utilização.";(EF07MA37) Interpretar e analisar dados apresentados em gráfico de setores divul- gados pela mídia e compreender quando é possível ou conveniente sua utilização.;(EF06MA33);(EF07GE10);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
8º;Números;Notação científica;"• Cálculos com potências de expoentes inteiros;
• Interpretação da ideia de notação científica e identificação de situações nas quais pode ser empregada;
• Utilização das propriedades da potência na multiplicação com notação científica;
• Representação de números extremamente grandes ou pequenos em notação científica;
• Representação de números em notação científi- ca em diferentes contextos.";(EF08MA01) Efetuar cálculos com po- tências de expoentes inteiros e aplicar esse conhecimento na representação de números em notação científica.;(EF08MA02) (EF09MA03) (EF09MA04);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Números;Potenciação e radiciação;"• Interpretação da noção de radicais e suas propriedades;
• Utilização das propriedades da potenciação e radiciação para simplificar radicais;
• Cálculos de radiciação com outros índices;
• Representação de radicais como potência de expoente fracionário;
• Resolução de expressões numéricas com potenciação e radiciação;
• Utilização do cálculo mental para estimar raízes quadradas;
• Apresentação de métodos para estimar o valor de uma raiz quadradas não exata;
• Utilização da calculadora para expressar o valor da raiz quadrada de um número por estimativa;
• Localização do valor estimado de uma raiz quadrada exata ou não na reta numérica com o uso de instrumentos de desenho geométrico (régua, compasso e esquadros);
• Resolução e elaboração de problemas envolven- do o cálculo de raiz quadrada por estimativa;
• Resolução e elaboração de problemas en- volvendo potências de expoente fracionário e radiciações.";(EF08MA02) Resolver e elaborar proble- mas usando a relação entre potenciação e radiciação, para representar uma raiz como potência de expoente fracionário.;(EF08MA01);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Números;O princípio multiplicativo da contagem;• Resolução de problemas de contagem com o uso do princípio multiplicativo.;(EF08MA03) Resolver e elaborar proble- mas de contagem cuja resolução envolva a aplicação do princípio multiplicativo.;(EF05MA09);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
8º;Números;Porcentagens;• Resolução de problemas que envolvem o cálcu- lo de porcentagem em diversos contextos.;(EF08MA04) Resolver e elaborar proble- mas, envolvendo cálculo de porcentagens, incluindo o uso de tecnologias digitais.;(EF04MA09) (EF05MA06) (EF06MA09) (EF07MA02);(EF08GE01);Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
8º;Números;Dízimas periódicas: fração geratriz;"• Aplicação das diferentes estratégias para cálcu- los com números racionais, escolhendo a
melhor forma para representá-lo;
-Aperfeiçoamento dos conhecimentos anteriores para a resolução de problemas em diferentes situações;
• Reconhecimento de números racionais decimais finitos e infinitos, dízimas periódicas e suas representações
• Determinação da fração geratriz de dízimas periódicas simples e compostas.";(EF08MA05) Reconhecer e utilizar proce- dimentos para a obtenção de uma fração geratriz para uma dízima periódica.;(EF07MA18);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Álgebra;Valor numérico de expressões algébricas;"• Reconhecimento da linguagem algébrica como instrumento de representação e solução de problemas; • Cálculo do valor numérico de uma expressão algébrica; • Resolução e elaboração de problemas envolvendo cálculo do valor numérico de expressões algébricas; • Descrição do processo de resolução dos problemas resolvidos;";(EF08MA06) Resolver e elaborar proble- mas que envolvam cálculo do valor numé- rico de expressões algébricas, utilizando as propriedades das operações.;(EF07MA04) (EF07MA13);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Álgebra;Associação de uma equação linear de 1º grau a uma reta no plano cartesiano;"• Interpretação da ideia de par ordenado; • Estabelecimento da relação entre reta horizontal e vertical com os eixos de um plano cartesiano;
• Localização de pontos no plano cartesiano; • Identificação de uma equação linear de 1º grau com uma ou duas incógnitas; • Interpretação geométrica da solução de uma equação linear de 1º grau com duas incógnitas;";(EF08MA07) Associar uma equação linear de 1º grau com duas incógnitas a uma reta no plano cartesiano.;(EF05MA15) (EF08MA06) (EF08MA08);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
8º;Álgebra;Sistema de equações polinomiais de 1º grau: resolução algébrica e representação no plano cartesiano;"• Identificação de um sistema de duas equações do 1º grau com duas incógnitas que expressa um problema; • Aplicação do método da adição e da substituição para a resolução de um sistema de equações; • Resolução de problemas que envol- vem sistemas de equações do 1º grau com duas incógnitas; • Interpretação geométrica da solução de um sistema de equações do 1º grau com duas incógnitas.";(EF08MA08) Resolver e elaborar pro- blemas relacionados ao seu contexto próximo, que possam ser representados por sistemas de equações de 1º grau com duas incógnitas e interpretá-los, utilizando, inclusive, o plano cartesiano como recurso.;(EF05MA15) (EF08MA06) (EF08MA07);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
8º;Álgebra;Equação polinomial de 2º grau do tipo ax² = b;"• Resolução de equações do 2º grau incompletas por meio de fatoração,
• Reconhecimento e resolução de situações-pro- blema envolvendo as equações do 2º grau na forma incompleta ax² = b;";(EF08MA09) Resolver e elaborar, com e sem uso de tecnologias, problemas que possam ser representados por equações polinomiais de 2º grau do tipo ax² = b.;(EF09MA09);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
8º;Álgebra;Sequências recursivas e não recursivas;"• Identificação de regularidades em sequências numéricas ou figural; • Determinação da expres- são algébrica que determine qualquer termo dessa sequência;";(EF08MA10) Identificar a regularidade de uma sequência numérica ou figural não re- cursiva e construir um algoritmo por meio de um fluxograma que permita indicar os números ou as figuras seguintes.;(EF07MA14) (EF07MA15) (EF07MA16) (EF08MA11);(EF67EF02);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
8º;Álgebra;Sequências recursivas e não recursivas;"• Identificar que numa sequência recursiva, cada termo depende diretamente do termo anterior; • Determinar expressão algébrica que determine o termo seguinte da sequência;";(EF08MA11) Identificar a regularidade  de uma sequência numérica recursiva e construir um algoritmo por meio de um fluxograma que permita indicar os núme- ros seguintes.;(EF07MA14) (EF07MA15) (EF07MA16) (EF08MA10);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
8º;Álgebra;Variação de grandezas: diretamente propor- cionais, inversamente proporcionais ou não proporcionais;"• Interpretação do conceito de grandezas pro- porcionais;
• Identificação da natureza da variação de duas grandezas, diretamente, inversamente proporcio- nais ou não proporcionais;
• Determinação da expressão algébrica que representa essa relação de proporcionalidade;
• Representação no plano cartesiano da relação de proporção entre essas grandezas;";(EF08MA12) Identificar a natureza da variação de duas grandezas, diretamente, inversamente proporcionais ou não proporcionais, expressando a relação existente por meio de sentença algébrica e representá-la no plano cartesiano.;(EFEF07MA17) (EF08MA13);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
8º;Álgebra;Variação de grandezas: diretamente propor- cionais, inversamente proporcionais ou não proporcionais;"• Resolução de problemas que envolvam grande- zas diretamente ou inversamente proporcionais usando a regra de três simples ou outras estraté- gias de resolução;";(EF08MA13) Resolver e elaborar proble- mas que envolvam grandezas diretamente ou inversamente proporcionais, por meio de estratégias variadas.;(EF07MA17) (EF08MA12);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Geometria;Congruência de triân- gulos e demonstrações de propriedades de quadriláteros;"• Interpretação do conceito de congruência de triângulos;
• Reconhecimento de triângulos congruentes de acordo com os casos de congruência: Lado,
Ângulo, Lado (LAL); Ângulo, Lado, Ângulo (ALA); Lado, Lado, Lado (LLL) e Lado, Ângulo e  Ângulo (LAA);
• Interpretação da congruência de triângulos a partir das relações com transformações isomé- tricas;
• Demonstração das propriedades dos quadriláte- ros a partir da congruência de triângulos.";(EF08MA14) Demonstrar propriedades de quadriláteros por meio da identificação da congruência de triângulos.;;;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Geometria;"Construções geométricas: ângulos de 90°, 60°,
45° e 30° e polígonos regulares";"• Construção de polígonos regulares a partir de circunferências; • Aplicação do conceito de bissetriz de um ângulo para construí-la com instrumentos de desenho geométrico (régua,
transferidor e compasso) e softwares de geome- tria dinâmica; • Construção de mediatrizes, ângu- los de 90°, 60°, 45° e 30° e polígonos regulares usando instrumentos de desenho geométrico (régua, transferidor e compasso) e softwares de geometria dinâmica;";(EF08MA15) Construir, utilizando ins- trumentos de desenho ou softwares de geometria dinâmica, mediatriz, bissetriz, ângulos de 90°, 60°, 45° e 30° e polígonos regulares.;(EF08MA17);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
8º;Geometria;"Construções geométricas: ângulos de 90°, 60°,
45° e 30° e polígonos regulares";• Descrição, por escrito e na forma de um fluxo- grama, de um algoritmo para a construção de um hexágono regular de qualquer área, a partir da medida do ângulo central e da utilização de esquadros e compasso.;(EF08MA16) Descrever, por escrito e por meio de um fluxograma, um algoritmo para a construção de um hexágono regular de qualquer área, a partir da medida do ângulo central e da utilização de esqua- dros e compasso.;(EF09MA15);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
8º;Geometria;Mediatriz e bissetriz como lugares geomé- tricos: construção e problemas;"• Construção, com o uso de instrumentos de desenho geométrico ou software de geometria dinâmica, da bissetriz e da mediatriz de um triângulo;
• Reconhecimento da mediatriz e da bissetriz como segmentos notáveis do triângulo e apli- cação de suas propriedades na resolução de problemas.";(EF08MA17) Aplicar os conceitos de mediatriz e bissetriz como lugares geomé- tricos na resolução de problemas.;(EF08MA15);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
8º;Geometria;Transformações geo- métricas: simetrias de translação, reflexão e rotação;"• Reconhecimento de figuras obtidas por compo- sições de transformações geométricas;
• Construção, com o uso de instrumentos de desenho geométrico ou software de geometria dinâmica, de figuras obtidas por meio da transla- ção, reflexão e rotação de outras figuras planas.";(EF08MA18) Reconhecer e construir figuras obtidas por composições de transformações geométricas (translação, reflexão e rotação), com o uso de instru- mentos de desenho ou de softwares de geometria dinâmica.;(EF07MA21) (EF07MA22) (EF07MA24) (EF07MA28);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
8º;Grandezas e medidas;"Área de figuras planas Área do círculo e comprimento
de sua circunferência";"• Cálculo da área de figuras planas por de- composição e com a utilização das fórmulas apropriadas;
• Cálculo da área de triângulo e paralelogramo por composição em retângulos;
• Cálculo de áreas de quadrado, retângulo, triângulo, paralelogramo, trapézio e losango com a utilização das fórmulas;
• Cálculo da área de círculos;
-Resolução de problemas que envolvem cálculo de área de figuras planas.";(EF08MA19) Resolver e elaborar proble- mas que envolvam medidas de área de figuras geométricas, utilizando expressões de cálculo de área (quadriláteros, triângu- los e círculos), em situações como determi- nar medida de terrenos.;(EF07MA31) (EF07MA32);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
8º;Grandezas e medidas;Volume de cilindro reto Medidas de capacidade;"• Estabelecimento da relação entre as principais unidades de medida de volume (cm³, dm³ e m³) e de capacidade (l);
• Resolução de problemas envolvendo o cálculo da capacidade de recipientes.";(EF08MA20) Reconhecer a relação entre um litro e um decímetro cúbico e a relação entre litro e metro cúbico, para resolver problemas de cálculo de capacidade de recipientes.;(EF07MA29);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Grandezas e medidas;Volume de cilindro reto Medidas de capacidade;"• Cálculo do volume de cubo e paralelepípedo;
• Resolução de problemas envolvendo o volume de recipientes cujo formato é de um bloco retangular.";(EF08MA21) Resolver e elaborar proble- mas que envolvam o cálculo do volume de recipiente cujo formato é o de um bloco retangular.;(EF07MA30);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
8º;Probabilidade e estatística;"Princípio multiplicativo da contagem
Soma das probabilidades de todos os elementos de um espaço amostral";"• Indicação da probabilidade de um evento, por meio de uma razão;
• Verificação de que a soma das probabilidades de todos os resultados individuais é igual a 1;
• Interpretação do significado de experimento aleatório, espaço amostral e evento.";"(EF08MA22) Calcular a probabilidade de eventos, com base na construção do espaço amostral, utilizando o princípio multiplicativo, e reconhecer que a soma
das probabilidades de todos os elementos do espaço amostral é igual a 1.";(EF05MA09) (EF05MA23) (EF06MA30) (EF07MA34);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Probabilidade e estatística;"Gráficos de barras, colunas, linhas ou setores e seus elementos consti- tutivos e adequação para determinado conjunto
de dados";"• Análise de diagramas com histogramas e gráfi- cos, fazendo comparações e conclusões;
• Construção dos gráficos da pesquisa avaliando a adequação de cada tipo de gráfico ao conjunto de dados da pesquisa.";(EF08MA23) Avaliar a adequação de dife- rentes tipos de gráficos para representar um conjunto de dados de uma pesquisa.;(EF06MA33) (EF07MA37);(EF08GE08);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
8º;Probabilidade e estatística;Organização dos dados de uma variável contínua em classes;"• Assimilação dos conceitos de intervalo de classe;
• Utilização do agrupamento de dados com intervalos de classes.";(EF08MA24) Classificar as frequências de uma variável contínua de uma pesquisa em classes, de modo que resumam os da- dos de maneira adequada para a tomada de decisões.;(EF07MA35) (EF08MA25) (EF08MA27);(EF08GE08);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
8º;Probabilidade e estatística;Medidas de tendência central e de dispersão;"• Construção dos gráficos da pesquisa, desta- cando aspectos como as medidas de tendência central: média, mediana e moda;
• Compreensão dos significados das medidas de tendência central (moda, média e mediana) e relacioná-los à amplitude dos dados coletados.";(EF08MA25) Obter os valores de medidas de tendência central de uma pesquisa estatística (média, moda e mediana) com a compreensão de seus significados e relacioná-los com a dispersão de dados, indicada pela amplitude.;(EF07MA35) (EF08MA24) (EF08MA27);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
8º;Probabilidade e estatística;"Pesquisas censitária ou amostral
Planejamento e execução de pesquisa amostral";"• Investigação de técnicas para coleta de dados: censos, amostragens e observações;
• Apresentação da justificativa de diferentes razões para a utilização de pesquisas amostrais  e não censitárias, bem como reconhecimento dos diferentes tipos de amostras (casual simples, estratificada, sistemática).";(EF08MA26) Selecionar razões, de diferen- tes naturezas (física, ética ou econômica), que justificam a realização de pesquisas amostrais e não censitárias, e reconhecer que a seleção da amostra pode ser feita  de diferentes maneiras (amostra casual simples, sistemática e estratificada).;(EF08MA27);(EF08GE19) (EF08ER05) (EF08ER06);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
8º;Probabilidade e estatística;"Pesquisas censitária ou amostral
Planejamento e execução de pesquisa amostral";"• Planejamento de pesquisa amostral usando a técnica de amostragem adequada;
• Construção de gráficos adequados para re- presentar o conjunto de dados destacando as medidas de tendência central, a amplitude dos dados coletados e apresentar as conclusões após análise final.";(EF08MA27) Planejar e executar pesquisa amostral, selecionando uma técnica de amostragem adequada, e escrever relató- rio que contenha os gráficos apropriados para representar os conjuntos de dados, destacando aspectos como as medidas  de tendência central, a amplitude e as conclusões.;(EF06MA33) (EF07MA37) (EF08MA23) (EF08MA26);(EF08GE19) (EF89LP21);"Interagir com seus pares de forma cooperativa, trabalhando coletivamente no planejamento e
desenvolvimento de pesquisas para responder a questionamentos e na busca de soluções para problemas, de modo a identificar aspectos consensuais ou não na discussão de uma determinada questão, respeitando o modo de pensar dos colegas e aprendendo com eles."
9º;Números;"Necessidade dos nú- meros reais para medir qualquer segmento
de reta
Números irracionais: reconhecimento e localização de alguns na reta numérica";"• Identificação de segmentos cujo comprimento não pode ser expresso por um número racional;
• Construção de segmentos de comprimento irracional usando instrumentos de desenho geométrico e softwares de geometria dinâmica.";(EF09MA01) Reconhecer que, uma vez fixada uma unidade de comprimento, exis- tem segmentos de reta cujo comprimento não é expresso por número racional (como as medidas de diagonais de um polígono e alturas de um triângulo, quando se toma a medida de cada lado como unidade).;(EF09MA02) (EF09MA04);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
9º;Números;"Necessidade dos nú- meros reais para medir qualquer segmento
de reta
Números irracionais: reconhecimento e localização de alguns na reta numérica";"• Reconhecimento que um número irracional pode ser representado em forma decimal infinita, não periódica,
• Utilização da reta numerada para localização, ordenação e comparação de números irracionais;";(EF09MA02) Reconhecer um número irracional como um número real cuja representação decimal é infinita e não pe- riódica, e estimar a localização de alguns deles na reta numérica.;(EF08MA05) (EF09MA01);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
